parameter,required,checkfunction,invalidpairs,description
tablename,1,.checkinputs.isvalidtable,,table to query
starttime,1,.checkinputs.checktimecolumntype,,startime - see timecolumn
endtime,1,.checkinputs.checktimecolumntype,,endime - see timecolumn
timecolumn,1,.checkinputs.checktimecolumn,,column to apply (startime;endime) filter to
instruments,0,.checkinputs.allsymbols,,instruments of interest - see tableproperties.csv
columns,0,.checkinputs.checkcolumnsexist,aggregations,table columns to return - assumed all if not present
grouping,0,.checkinputs.allsymbols,aggregations,columns to group by -  no grouping assumed if not present
aggregations,0,.checkinputs.checkaggregations,columns|grouping|timebar|freeformby|freeformcolumn,dictionary of aggregations - e.g `last`max`wavg!(`mid,`mid`bidprice`askprice;(`asksize`askprice;`bidsize`bidprice))
timebar,0,.checkinputs.checktimebar,aggregations,list of (time column to group on;size;type - nanosecond,second,minute,hour,timespan)
filters,0,.checkinputs.checkfilterformat,,a dictionary of columns + conditions in string format
freeformwhere,0,.checkinputs.isstring,,where clause in string format
freeformby,0,.checkinputs.isstring,aggregations,by clause in string format
freeformcolumn,0,.checkinputs.isstring,aggregations,select clause in string format
