parameter,required,checkfunction,invalidpairs,description
tablename,1,.checkinputs.checktable,,table to query
starttime,1,.checkinputs.checktimetype,,starttime - see timecolumn
endtime,1,.checkinputs.checkendtime,,endtime - see timecolumn
timecolumn,0,.checkinputs.checktimecolumn,,column to apply (startime;endime) filter to
instruments,0,.checkinputs.checksyminput,,instruments of interest - see tableproperties.csv
columns,0,.checkinputs.checksyminput,,table columns to return - assumed all if not present
grouping,0,.checkinputs.checksyminput,,columns to group by -  no grouping assumed if not present
aggregations,0,.checkinputs.checkaggregations,columns|freeformcolumn,dictionary of aggregations - e.g `last`max`wavg!(`time;`bidprice`askprice;(`asksize`askprice;`bidsize`bidprice))
timebar,0,.checkinputs.checktimebar,,list of (time column to group on;size;type - `nanosecond`second`minute`hour`day)
filters,0,.checkinputs.checkfilters,,a dictionary of columns + conditions in string format
ordering,0,.checkinputs.checkordering,,a list of pairs regarding the direction (`asc or `desc) of ordering and a column to order
freeformwhere,0,.checkinputs.isstring,,where clause in string format
freeformby,0,.checkinputs.isstring,,by clause in string format
freeformcolumn,0,.checkinputs.isstring,,select clause in string format
instrumentcolumn,0,.checkinputs.checkinstrumentcolumn,,column to select instrument parameter from
renamecolumn,0,.checkinputs.checkrenamecolumn,,dictionary to rename a column in results
postprocessing,0,.checkinputs.checkpostprocessing,,applies postback lambda functions to data
join,0,.checkinputs.checkjoin,,Joins queries together
postback,0,.checkinputs.checkpostback,,sends async queries back
timeout,0,.checkinputs.checktimeout,,Checks the time of the timeout
sublist,0,.checkinputs.checksublist,,checks the head parameter
procs,0,.checkinputs.checkprocs,,Checks the procs is the correct servers
sqlquery,0,.checkinputs.isstring,,Select clause in string format
getquery,0,.checkinputs.isboolean,,Returns the queries in each of the process
dryrun,0,.checkinputs.isboolean,,Calculates the number of MB processed
firstlastsort,0,.checkinputs.checkinstrumentcolumn,,Allows for use of firstlastsort (not supported by dataaccess)
optimisation,0,.checkinputs.isboolean,,Toggle optimastion in queryorder
